precision,recall,f1-score,support,source
0.5130434782608696,0.34104046242774566,0.4097222222222222,173.0,mimic+pad
0.0,0.0,0.0,61.0,mimic+pad
0.0,0.0,0.0,29.0,mimic+pad
0.0,0.0,0.0,39.0,mimic+pad
0.2777777777777778,0.06756756756756757,0.10869565217391305,74.0,mimic+pad
0.7602739726027398,0.25,0.3762711864406779,444.0,mimic+pad
0.5920471281296024,0.2627450980392157,0.3639655952919873,1530.0,mimic+pad
0.26549115019934405,0.1416783569889285,0.17377652973719218,1530.0,mimic+pad
0.47069224826765643,0.2627450980392157,0.3183115686676505,1530.0,mimic+pad
0.28230337078651685,0.26754057428214734,0.2713839843053326,1530.0,mimic+pad
0.6792452830188679,0.4778761061946903,0.5610389610389611,452.0,mimic+nih
